date,open,high,low,close,volume
2010/5/28,16820,16845,16600,16635,248628
2010/5/31,16580,16660,16470,16575,222562
2010/6/1,16585,16695,16550,16680,182696
2010/6/2,16605,16645,16300,16375,326760
2010/6/3,16395,16450,16280,16405,231492
2010/6/4,16350,16420,16255,16390,190788
2010/6/7,16130,16245,16000,16085,402574
2010/6/8,16175,16295,16160,16290,192058
2010/6/9,16360,16650,16350,16625,267002
2010/6/10,16710,16825,16630,16640,186120
2010/6/11,16695,16760,16610,16745,177962
2010/6/14,16695,16760,16610,16745,177962
2010/6/17,16810,16880,16715,16810,124824
2010/6/18,16780,16820,16535,16555,234722
2010/6/21,16610,16750,16475,16595,365228
2010/6/22,16560,16570,16425,16510,318012
2010/6/23,16560,16830,16520,16795,414194
2010/6/24,16800,16845,16740,16805,164910
2010/6/25,16850,16935,16750,16775,269112
2010/6/28,16820,16850,16720,16835,183498
2010/6/29,16780,16900,16755,16795,253554
2010/6/30,16765,16880,16725,16870,246958
2010/7/1,16755,16775,16630,16645,277678
2010/7/2,16680,16760,16620,16750,189342
2010/7/5,16670,16680,16505,16530,271436
2010/7/6,16480,16610,16460,16585,183036
2010/7/7,16470,16490,16425,16455,171264
2010/7/8,16545,16550,16490,16520,130944
2010/7/9,16460,16475,16365,16390,219486
2010/7/12,16470,16480,16105,16215,304102
2010/7/13,16175,16210,16100,16105,220406
